City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
146,bredasdorp,-34.5322,20.0403,16.91,73,83,5.28,ZA,1712253544
147,horta,38.5333,-28.6333,14.8,74,75,9.26,PT,1712253544
148,paka,4.6374,103.4368,23.96,94,13,0.0,MY,1712253544
149,mirny,62.5353,113.9611,-16.54,83,37,3.58,RU,1712253544
150,dudinka,69.4058,86.1778,-29.62,97,10,3.13,RU,1712253544
151,energodar,47.4987,34.6574,11.74,65,91,5.02,UA,1712253544
152,reguiba,33.5639,6.7033,28.03,23,0,7.2,DZ,1712253544
153,london,51.5085,-0.1257,14.58,78,97,4.47,GB,1712253329
154,grande prairie,55.1667,-118.8027,-0.9,69,100,2.06,CA,1712253451
155,arteche,12.2645,125.4048,25.68,90,64,2.94,PH,1712253545
156,kotido,2.9806,34.1331,23.48,68,100,1.6,UG,1712253545
157,misliyah,17.4599,42.5572,30.52,51,40,1.56,SA,1712253545
158,saddiqabad,28.3062,70.1307,28.35,16,63,2.55,PK,1712253545
159,taltal,-25.4,-70.4833,20.62,72,15,2.87,CL,1712253545
160,east london,-33.0153,27.9116,24.52,69,0,2.57,ZA,1712253545
161,novodvinsk,64.4165,40.8122,-9.14,89,100,3.58,RU,1712253545
162,prince rupert,54.3161,-130.3201,5.83,85,75,4.63,CA,1712253545
163,demyansk,57.643,32.466,-1.79,75,96,2.07,RU,1712253545
164,plouzane,48.3833,-4.6167,13.18,95,100,10.8,FR,1712253546
165,brookings,44.3114,-96.7984,10.03,31,0,7.2,US,1712253417
166,salalah,17.0151,54.0924,26.54,70,92,1.45,OM,1712253546
167,sitangkai,4.6628,119.3928,28.16,78,86,2.1,PH,1712253546
168,mount pearl,47.5166,-52.7813,4.62,96,100,6.69,CA,1712253546
169,rosarito,32.3333,-117.0333,17.52,70,89,3.46,MX,1712253283
170,harper,4.375,-7.7169,29.27,77,54,4.77,LR,1712253546
171,chenzhou,25.8,113.0333,14.1,98,100,1.46,CN,1712253546
172,touros,-5.1989,-35.4608,29.61,66,100,3.29,BR,1712253509
173,juneau,58.3019,-134.4197,4.12,95,75,2.57,US,1712253278
174,stanley,54.868,-1.6985,5.77,84,40,3.6,GB,1712253547
175,koungheul,13.9833,-14.8,41.73,12,22,3.1,SN,1712253547
176,rute,37.3269,-4.3683,18.92,54,28,1.59,ES,1712253547
177,las veredas,23.1388,-109.7075,27.76,44,14,0.89,MX,1712253339
178,mount gambier,-37.8333,140.7667,9.64,85,21,2.04,AU,1712253547
179,independence,39.0911,-94.4155,13.53,32,0,7.72,US,1712253393
180,attendorn,51.1265,7.9033,12.19,91,73,4.97,DE,1712253547
181,sitka,57.0531,-135.33,3.94,81,40,2.06,US,1712253363
182,basco,20.4487,121.9702,27.2,88,3,7.96,PH,1712253548
183,myanaung,18.2833,95.3167,30.01,52,1,0.88,MM,1712253548
184,saudarkrokur,65.7461,-19.6394,-2.56,73,84,0.77,IS,1712253548
185,arraial do cabo,-22.9661,-42.0278,28.98,70,20,5.14,BR,1712253336
186,curup,-3.4667,102.5333,21.78,98,100,0.56,ID,1712253548
187,tarfaya,27.9358,-12.9218,19.15,86,83,8.15,MA,1712253548
188,mingshui,36.7167,117.5,9.25,37,1,2.24,CN,1712253548
189,egilsstadir,65.2653,-14.3948,-4.05,63,75,4.63,IS,1712253548
190,wewak,-3.5534,143.6268,25.83,85,100,1.82,PG,1712253549
191,port lavaca,28.615,-96.6261,28.5,33,0,4.12,US,1712253481
192,oranjemund,-28.55,16.4333,16.57,93,40,7.62,NA,1712253549
193,la'ie,21.6477,-157.9253,23.98,76,35,4.02,US,1712253549
194,midoun,33.8081,10.9923,19.92,69,58,5.74,TN,1712253549
195,puerto baquerizo moreno,-0.9,-89.6,29.55,66,20,4.63,EC,1712253549
196,port mathurin,-19.6833,63.4167,26.94,81,97,8.4,MU,1712253549
197,alofi,-19.0595,-169.9187,24.94,94,75,4.63,NU,1712253549
198,nuku'alofa,-21.1333,-175.2,24.19,78,20,3.09,TO,1712253365
199,cozumel,20.5083,-86.9458,29.04,58,40,5.14,MX,1712253267
200,aykhal,66.0,111.5,-20.86,97,100,13.89,RU,1712253550
201,cerignola,41.264,15.9005,16.57,70,12,2.18,IT,1712253550
202,dryden,49.7833,-92.7503,5.16,48,0,3.6,CA,1712253550
203,beau vallon,-20.4189,57.6953,26.13,94,40,2.06,MU,1712253550
204,ostersund,63.1792,14.6357,-3.75,58,20,9.26,SE,1712253471
205,yellowknife,62.456,-114.3525,-8.1,68,20,0.0,CA,1712253550
206,amlapura,-8.45,115.6167,24.25,90,100,1.46,ID,1712253550
207,loango,-4.6719,11.8312,26.28,86,84,0.71,CG,1712253550
208,hadibu,12.65,54.0333,26.98,75,9,3.94,YE,1712253551
209,howrah,22.5892,88.3103,29.0,89,75,5.66,IN,1712253551
210,calingasta,-31.3308,-69.4078,27.5,7,0,0.39,AR,1712253551
